sequence_name,identified_by,vs2_score,vs2_group,dvf_score,dvf_pvalue,consensus
k141_178951,DeepVirFinder_only,,,0.0838348865509033,0.2005249641211572,False
k141_11655,DeepVirFinder_only,,,2.388811481068842e-06,0.8412455623536521,False
k141_124844,DeepVirFinder_only,,,0.0055700163356959,0.3851310521942745,False
k141_159099,DeepVirFinder_only,,,9.17323777684942e-05,0.6637397084371931,False
k141_172657,DeepVirFinder_only,,,0.083116814494133,0.2010537049626104,False
k141_54596,DeepVirFinder_only,,,0.0001673763472354,0.6265201299191782,False
k141_112748,DeepVirFinder_only,,,0.0001745627523632,0.6237064732985875,False
k141_31968,DeepVirFinder_only,,,0.0112360632047057,0.335032857466576,False
k141_3226,DeepVirFinder_only,,,0.0037743453867733,0.4134942216179469,False
k141_125580,DeepVirFinder_only,,,0.0006917921709828,0.5342359694841,False
k141_78556,DeepVirFinder_only,,,0.0086280219256877,0.3543130145781403,False
k141_3057,Both,,dsDNAphage,0.0108899772167205,0.3374121912531158,True
k141_39992,DeepVirFinder_only,,,0.0003188889822922,0.5868079160057406,False
k141_34504,DeepVirFinder_only,,,4.49652270617662e-06,0.8165458116171916,False
k141_46232,Both,0.993,ssDNA,0.0489019975066185,0.2358561824911247,True
k141_160083,DeepVirFinder_only,,,0.0045963926240801,0.3990482664853841,False
k141_74977,DeepVirFinder_only,,,0.0893801152706146,0.1964083389984137,False
k141_6650,DeepVirFinder_only,,,0.000106243227492,0.6551287861620968,False
k141_106309,DeepVirFinder_only,,,0.0008198237046599,0.522490369363245,False
k141_126280,DeepVirFinder_only,,,0.023406758904457,0.2842359694841,False
k141_118882,DeepVirFinder_only,,,0.0047661866992712,0.3961213082559106,False
k141_60124,DeepVirFinder_only,,,0.0105558121576905,0.3396593398292922,False
k141_100472,DeepVirFinder_only,,,0.0003707208961714,0.5769317924314525,False
k141_11309,DeepVirFinder_only,,,0.0192047785967588,0.2976055593322758,False
k141_40771,DeepVirFinder_only,,,0.0012195466551929,0.4948070095928695,False
k141_153527,DeepVirFinder_only,,,0.0440172404050827,0.2427675806329783,False
k141_141061,DeepVirFinder_only,,,0.0001275950635317,0.6442140645063826,False
k141_84686,DeepVirFinder_only,,,0.0566626861691474,0.2265654505627313,False
k141_31702,DeepVirFinder_only,,,0.2148127555847168,0.1418158471183624,False
k141_134638,DeepVirFinder_only,,,0.5550419092178345,0.0476999773396782,False
k141_175309,DeepVirFinder_only,,,0.440151035785675,0.0862036407583654,False
k141_39768,DeepVirFinder_only,,,0.1896122694015503,0.1504456529949392,False
k141_1880,DeepVirFinder_only,,,4.468539373192471e-06,0.8168857164438401,False
k141_3837,DeepVirFinder_only,,,0.1761178076267242,0.1550532517561749,False
k141_50037,Both,0.967,ssDNA,0.3416626453399658,0.1095626557897122,True
k141_171021,DeepVirFinder_only,,,0.4273606538772583,0.0898481758440969,False
k141_141722,DeepVirFinder_only,,,8.380075087188743e-07,0.8764634791147368,False
k141_84669,DeepVirFinder_only,,,0.9372556209564208,0.0149746959740161,False
k141_69569,DeepVirFinder_only,,,6.612787547055632e-05,0.6833031195709646,False
k141_137778,DeepVirFinder_only,,,0.0036737881600856,0.4156280685852406,False
k141_59389,DeepVirFinder_only,,,0.0118666077032685,0.3308218143364302,False
k141_64174,DeepVirFinder_only,,,0.8785282373428345,0.0193556915174862,False
k141_85667,DeepVirFinder_only,,,0.001485128654167,0.4810030969106428,False
k141_158595,DeepVirFinder_only,,,0.9954034090042114,0.0059861016693103,False
k141_163195,DeepVirFinder_only,,,6.909377589181531e-06,0.7976055593322758,False
k141_11403,DeepVirFinder_only,,,0.029357474297285,0.2691857391041619,False
k141_64929,DeepVirFinder_only,,,5.9360481827752665e-05,0.6897613112772868,False
k141_65479,DeepVirFinder_only,,,2.660916288732551e-05,0.7340433567489991,False
k141_87398,DeepVirFinder_only,,,0.0140968039631843,0.3188873782007704,False
k141_132665,DeepVirFinder_only,,,3.0092039651208324e-06,0.8325024548681924,False
k141_39800,DeepVirFinder_only,,,0.0002894859353546,0.5927373668706095,False
k141_2437,DeepVirFinder_only,,,0.0056972946040332,0.3832993428506684,False
k141_70506,DeepVirFinder_only,,,0.0012253408785909,0.4944104539617796,False
k141_166145,DeepVirFinder_only,,,0.0314409360289573,0.2648613943651333,False
k141_94929,DeepVirFinder_only,,,6.704704560434038e-07,0.8831105068358638,False
k141_78171,DeepVirFinder_only,,,0.0049142395146191,0.3938552760782536,False
k141_78051,DeepVirFinder_only,,,0.0007045278325676,0.5328574665760254,False
k141_140940,DeepVirFinder_only,,,0.0403841584920883,0.2488669839111715,False
k141_19115,Both,0.847,dsDNAphage,0.5801123976707458,0.0444708814865171,True
k141_161731,DeepVirFinder_only,,,3.71751895045236e-07,0.8997847269431226,False
k141_16614,DeepVirFinder_only,,,0.0052001858130097,0.3901352065866001,False
k141_45449,DeepVirFinder_only,,,0.0721191838383674,0.210552156507289,False
k141_177012,DeepVirFinder_only,,,0.6566338539123535,0.0365964196691593,False
k141_111063,DeepVirFinder_only,,,0.0002184402401326,0.6099780950222826,False
k141_142553,DeepVirFinder_only,,,1.45317799251643e-05,0.7643515371251605,False
k141_125827,DeepVirFinder_only,,,0.0576894432306289,0.2253002492635395,False
k141_97147,DeepVirFinder_only,,,0.0025354700628668,0.4426505023037994,False
k141_106645,DeepVirFinder_only,,,0.0056932987645268,0.3833748772565903,False
k141_136216,DeepVirFinder_only,,,0.0028506789822131,0.4341339980361055,False
k141_56208,DeepVirFinder_only,,,0.0393168292939662,0.2503776720296095,False
k141_128301,DeepVirFinder_only,,,0.014359125867486,0.3176599441045396,False
k141_70751,DeepVirFinder_only,,,0.0540430843830108,0.2294168743862829,False
k141_139987,DeepVirFinder_only,,,0.0052146380767226,0.3900030213762369,False
k141_25144,DeepVirFinder_only,,,0.4504227936267853,0.0833144497318528,False
k141_174845,DeepVirFinder_only,,,0.0072985053993761,0.3659830802930734,False
k141_21193,DeepVirFinder_only,,,5.274386057863012e-05,0.6962383865850895,False
k141_23748,DeepVirFinder_only,,,1.8414006319744658e-08,0.957719616285218,False
k141_59529,DeepVirFinder_only,,,0.034010536968708,0.2600271923861318,False
k141_163845,DeepVirFinder_only,,,0.0024690714199095,0.4445010952488858,False
k141_117504,DeepVirFinder_only,,,7.223057036753744e-05,0.6775058539164589,False
k141_16202,DeepVirFinder_only,,,0.0049196472391486,0.3937608580708512,False
k141_85285,DeepVirFinder_only,,,0.0001734890829538,0.6242729813430017,False
k141_64655,DeepVirFinder_only,,,0.0001976258936338,0.6162285671123197,False
k141_73571,DeepVirFinder_only,,,0.0138026317581534,0.3203980663192084,False
k141_41833,DeepVirFinder_only,,,6.082332788537315e-07,0.8862451846816225,False
k141_131725,DeepVirFinder_only,,,0.1082549020648002,0.1849082256968049,False
k141_32634,DeepVirFinder_only,,,8.224334123951849e-06,0.7900710023415666,False
k141_153448,DeepVirFinder_only,,,0.0212345998734235,0.290486441574137,False
k141_143569,DeepVirFinder_only,,,0.0044238157570362,0.4018052723015333,False
